bowler,over,maiden,runs,wickets,economy,wide,noball,inning,series
Jasprit Bumrah,17.2,4,46,3,2.65,0,1,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Mukesh Kumar,5,1,26,1,5.20,0,1,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Kuldeep Yadav,15,0,60,1,4.00,0,0,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ravichandran Ashwin,18,2,72,3,4.00,0,0,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Axar Patel,14,1,75,1,5.35,0,0,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Mitchell Starc,24,3,82,4,3.41,0,0,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Josh Hazlewood,20,6,38,2,1.90,0,1,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Pat Cummins,23,1,76,1,3.30,1,0,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Nathan Lyon,28,3,81,2,2.89,0,0,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Mitchell Marsh,2,0,3,0,1.50,0,1,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Cameron Green,7,2,12,0,1.71,1,0,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Marnus Labuschagne,1,0,1,0,1.00,0,0,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Travis Head,3,0,14,0,4.66,0,0,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kemar Roach,11,0,47,3,4.27,1,0,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alzarri Joseph,14,0,84,4,6.00,1,5,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Shamar Joseph,11,1,56,1,5.09,0,0,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Justin Greaves,9,3,31,0,3.44,0,0,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kevin Sinclair,8,1,53,1,6.62,0,1,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Mitchell Starc,14.3,3,45,1,3.10,0,3,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Josh Hazlewood,14,5,23,3,1.64,0,0,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Pat Cummins,12,1,39,0,3.25,0,0,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Cameron Green,10,2,37,1,3.70,0,0,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Nathan Lyon,22,6,42,3,1.90,0,0,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kemar Roach,10,1,28,0,2.80,0,0,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alzarri Joseph,17,1,62,2,3.64,1,5,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Justin Greaves,12,0,46,1,3.83,2,1,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Shamar Joseph,11.5,0,68,7,5.74,0,3,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Jasprit Bumrah,8.3,1,28,2,3.29,0,0,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mohammed Siraj,4,0,28,0,7.00,0,1,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravindra Jadeja,18,4,88,3,4.88,0,1,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravichandran Ashwin,21,1,68,3,3.23,0,0,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Axar Patel,13,1,33,2,2.53,0,0,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mark Wood,17,1,47,0,2.76,2,0,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Tom Hartley,25,0,131,2,5.24,0,2,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jack Leach,26,6,63,1,2.42,0,0,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Rehan Ahmed,24,4,105,2,4.37,0,0,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Joe Root,29,5,79,4,2.72,0,0,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jasprit Bumrah,16.1,4,41,4,2.53,0,0,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravichandran Ashwin,29,4,126,3,4.34,0,0,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Axar Patel,16,2,74,1,4.62,0,0,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravindra Jadeja,34,1,131,2,3.85,0,6,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mohammed Siraj,7,1,22,0,3.14,0,0,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Joe Root,19,3,41,1,2.15,0,0,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mark Wood,8,1,15,0,1.87,0,0,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Tom Hartley,26.2,5,62,7,2.35,0,1,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jack Leach,10,1,33,1,3.30,1,0,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Rehan Ahmed,6,0,33,0,5.50,0,0,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mitchell Starc,12,5,37,1,3.08,1,0,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Josh Hazlewood,15,6,44,4,2.93,0,0,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Pat Cummins,17,5,41,4,2.41,0,0,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Nathan Lyon,12.1,2,36,1,2.95,0,0,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Mitchell Marsh,2,1,5,0,2.50,1,0,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Cameron Green,4,1,12,0,3.00,0,0,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kemar Roach,16.1,5,48,2,2.96,0,0,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Alzarri Joseph,18,2,55,1,3.05,0,4,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Shamar Joseph,20,2,94,5,4.70,0,5,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Gudakesh Motie,12,1,42,0,3.50,0,0,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Justin Greaves,15,3,36,2,2.40,0,0,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Mitchell Starc,10,2,46,2,4.60,0,0,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Josh Hazlewood,14,6,35,5,2.50,0,1,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Pat Cummins,5,1,25,0,5.00,0,1,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Cameron Green,3,0,9,1,3.00,0,0,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Nathan Lyon,3.2,0,4,2,1.20,0,0,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kemar Roach,2,0,6,0,3.00,0,1,Australia 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Alzarri Joseph,3,0,12,0,4.00,0,2,Australia 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Shamar Joseph,1.4,0,7,0,4.20,0,1,Australia 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Jasprit Bumrah,8,1,25,2,3.12,0,0,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Mohammed Siraj,9,3,15,6,1.66,0,0,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Prasidh Krishna,4,1,10,0,2.50,0,0,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Mukesh Kumar,2.2,2,0,2,0.00,0,0,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Kagiso Rabada,11.5,2,38,3,3.21,1,0,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Lungi Ngidi,6,1,30,3,5.00,0,3,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Nandre Burger,8,2,42,3,5.25,0,0,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Marco Jansen,9,2,29,0,3.22,0,2,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Jasprit Bumrah,13.5,0,61,6,4.40,0,1,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Mohammed Siraj,9,3,31,1,3.44,0,0,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Mukesh Kumar,10,2,56,2,5.60,0,4,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Prasidh Krishna,4,1,27,1,6.75,0,0,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Kagiso Rabada,6,0,33,1,5.50,0,0,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Nandre Burger,4,0,29,1,7.25,1,0,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Marco Jansen,2,0,15,1,7.50,1,1,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Mitchell Starc,16,2,75,2,4.68,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Josh Hazlewood,15,2,65,1,4.33,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Pat Cummins,18,1,61,5,3.38,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Nathan Lyon,17.1,0,74,1,4.31,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mitchell Marsh,7,1,27,1,3.85,0,1,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Marnus Labuschagne,3,1,9,0,3.00,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Travis Head,1,0,1,0,1.00,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Sajid Khan,26,5,73,1,2.80,0,0,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mir Hamza,21,9,53,1,2.52,1,0,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Hasan Ali,21,6,53,0,2.52,0,0,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Aamer Jamal,21.4,2,69,6,3.18,1,2,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Agha Salman,20,3,43,2,2.15,0,0,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mitchell Starc,4,1,15,1,3.75,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Josh Hazlewood,9,2,16,4,1.77,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Pat Cummins,7,0,24,1,3.42,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Nathan Lyon,17.1,2,36,3,2.09,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Travis Head,6,1,19,1,3.16,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Sajid Khan,11,1,49,2,4.45,0,0,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mir Hamza,2,0,9,0,4.50,0,0,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Hasan Ali,4,0,15,0,3.75,0,0,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Agha Salman,5,0,28,0,5.60,0,0,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Aamer Jamal,3.5,0,22,0,5.73,0,0,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Kagiso Rabada,20,4,59,5,2.95,0,1,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Marco Jansen,16,2,52,1,3.25,0,0,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Nandre Burger,15.4,4,50,3,3.19,1,0,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Gerald Coetzee,16,1,74,1,4.62,1,0,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Jasprit Bumrah,26.4,5,69,4,2.58,0,0,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Mohammed Siraj,24,1,91,2,3.79,1,3,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shardul Thakur,19,2,101,1,5.31,0,5,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Prasidh Krishna,20,2,93,1,4.65,1,1,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Ravichandran Ashwin,19,6,41,1,2.15,0,0,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Kagiso Rabada,12,3,32,2,2.66,1,0,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Nandre Burger,10,3,33,4,3.30,1,0,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Marco Jansen,7.1,1,36,3,5.02,0,0,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Gerald Coetzee,5,0,28,0,5.60,0,0,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shaheen Shah Afridi,27,5,85,2,3.14,1,1,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mir Hamza,22,5,51,2,2.31,1,0,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Hasan Ali,23.5,7,61,2,2.55,0,1,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Aamer Jamal,19,1,64,3,3.36,5,0,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Agha Salman,5,0,22,1,4.40,0,0,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Starc,16,3,69,0,4.31,1,1,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Josh Hazlewood,16,5,43,1,2.68,0,1,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Pat Cummins,20,1,48,5,2.40,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Nathan Lyon,18.5,2,73,4,3.87,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Marsh,3,0,16,0,5.33,0,1,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Shaheen Shah Afridi,27,4,76,4,2.81,0,0,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mir Hamza,18.1,6,32,4,1.76,0,0,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Hasan Ali,17,2,53,0,3.11,1,0,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Aamer Jamal,16,2,74,2,4.62,0,0,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Agha Salman,6,1,16,0,2.66,0,0,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Starc,13.2,1,55,4,4.12,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Josh Hazlewood,15,7,34,1,2.26,1,0,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Nathan Lyon,19,1,84,0,4.42,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Pat Cummins,18,2,49,5,2.72,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Marsh,2,0,8,0,4.00,0,1,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Shaheen Shah Afridi,27,7,96,1,3.55,0,2,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Khurram Shahzad,22,5,83,2,3.77,0,3,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Aamer Jamal,20.2,1,111,6,5.45,5,3,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Faheem Ashraf,17,1,93,1,5.47,1,1,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Agha Salman,27,3,86,0,3.18,0,0,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Mitchell Starc,25,5,68,2,2.72,2,0,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Josh Hazlewood,22,7,49,1,2.22,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Pat Cummins,20,7,35,2,1.75,2,0,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Nathan Lyon,24,3,66,3,2.75,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Mitchell Marsh,9,0,34,1,3.77,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Travis Head,1.5,0,4,1,2.18,0,0,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Shaheen Shah Afridi,18.2,4,76,1,4.14,0,1,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Khurram Shahzad,16,4,45,3,2.81,0,4,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Aamer Jamal,9,0,28,1,3.11,1,0,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Faheem Ashraf,7,0,37,0,5.28,0,2,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Agha Salman,13,1,36,0,2.76,0,0,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Mitchell Starc,9,2,31,3,3.44,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Josh Hazlewood,7.2,2,13,3,1.77,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Pat Cummins,6,1,11,1,1.83,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Nathan Lyon,8,2,14,2,1.75,0,0,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Tim Southee,5.2,5,0,1,0.00,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Kyle Jamieson,4,2,8,0,2.00,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Ajaz Patel,17,6,54,2,3.17,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mitchell Santner,28,7,65,3,2.32,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Glenn Phillips,12,1,31,3,2.58,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Shoriful Islam,4,1,15,2,3.75,1,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz,11,1,53,3,4.81,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
