bowler,over,maiden,runs,wickets,economy,wide,noball,inning,series
Taijul Islam,16.1,0,64,3,3.95,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Nayeem Hasan,4,0,21,2,5.25,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mominul Haque,2,0,17,0,8.50,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Ajaz Patel,18,1,57,6,3.16,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mitchell Santner,11,0,51,3,4.63,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Tim Southee,6,1,25,1,4.16,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Shoriful Islam,5,2,9,1,1.80,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz,16.4,2,52,3,3.12,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Taijul Islam,14,2,58,2,4.14,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Nayeem Hasan,3,0,15,0,5.00,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mominul Haque,1,0,4,0,4.00,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Tim Southee,14.1,2,43,1,3.03,1,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Kyle Jamieson,17,5,52,2,3.05,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Ajaz Patel,24,1,76,2,3.16,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Ish Sodhi,14,1,71,1,5.07,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Glenn Phillips,16,1,53,4,3.31,0,0,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Shoriful Islam,13,2,54,1,4.15,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz,22,3,64,1,2.90,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Taijul Islam,39,9,109,4,2.79,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Nayeem Hasan,24,3,73,1,3.04,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mominul Haque,3.5,1,4,3,1.04,0,0,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Tim Southee,15,3,33,1,2.20,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Kyle Jamieson,13,3,25,0,1.92,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Ajaz Patel,36.4,1,148,4,4.03,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Glenn Phillips,16,4,47,1,2.93,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Ish Sodhi,19,2,74,2,3.89,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Daryl Mitchell,1,0,2,0,2.00,0,0,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Shoriful Islam,6,2,13,1,2.16,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz,15,4,44,1,2.93,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Taijul Islam,31.1,8,75,6,2.40,0,1,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Nayeem Hasan,17,3,40,2,2.35,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mominul Haque,2,0,5,0,2.50,0,0,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mitchell Starc,14.4,1,82,4,5.59,0,0,England 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Josh Hazlewood,13,0,54,2,4.15,0,0,England 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Pat Cummins,13,2,66,1,5.07,0,0,England 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Mitchell Marsh,8,0,43,1,5.37,0,2,England 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Todd Murphy,6,0,22,2,3.66,0,0,England 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Stuart Broad,20,5,49,2,2.45,0,0,Australia 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
James Anderson,26,9,67,1,2.57,0,1,Australia 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Mark Wood,22,4,62,2,2.81,1,0,Australia 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Chris Woakes,25,8,61,3,2.44,0,0,Australia 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Joe Root,7.1,1,20,2,2.79,0,0,Australia 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Harry Brook,3,1,7,0,2.33,0,0,Australia 1st Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Mitchell Starc,20,2,100,4,5.00,0,0,England 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Josh Hazlewood,15,0,67,1,4.46,0,1,England 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Pat Cummins,16,0,79,1,4.93,0,1,England 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Mitchell Marsh,8,0,35,0,4.37,0,1,England 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Todd Murphy,22.5,0,110,4,4.81,0,0,England 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Stuart Broad,20.4,4,62,2,3.00,0,0,Australia 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
James Anderson,14,4,53,0,3.78,0,1,Australia 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Chris Woakes,19,4,50,4,2.63,0,1,Australia 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Moeen Ali,23,2,76,3,3.30,0,0,Australia 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Joe Root,9,0,39,0,4.33,0,0,Australia 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Mark Wood,9,0,34,1,3.77,1,0,Australia 2nd Innings,"England vs Australia, 5th Test at London, Jul 27 2023, The Ashes"
Shaheen Shah Afridi,11,1,44,1,4.00,0,0,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Naseem Shah,14,3,41,3,2.92,0,0,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Abrar Ahmed,20.4,3,69,4,3.33,0,0,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Noman Ali,3,1,10,0,3.33,0,1,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Asitha Fernando,25,1,133,3,5.32,3,1,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Dilshan Madushanka,17,3,77,0,4.52,0,0,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Ramesh Mendis,36,2,139,0,3.86,0,1,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Prabath Jayasuriya,53,11,194,2,3.66,0,1,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Dhananjaya de Silva,3,1,13,0,4.33,0,0,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Shaheen Shah Afridi,12,5,30,0,2.50,0,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Naseem Shah,17.4,5,44,3,2.49,0,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Abrar Ahmed,10,1,34,0,3.40,1,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Noman Ali,23,8,70,7,3.04,0,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Agha Salman,5,1,6,0,1.20,0,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 2nd Test at Colombo, Jul 24 2023, Pakistan tour of Sri Lanka"
Shaheen Shah Afridi,24,3,86,3,3.58,0,1,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Naseem Shah,22,2,90,3,4.09,0,0,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Abrar Ahmed,31.2,9,68,3,2.17,0,0,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Agha Salman,5,1,18,1,3.60,0,0,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Noman Ali,13,2,45,0,3.46,0,0,Sri Lanka 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Vishwa Fernando,18,1,69,1,3.83,3,0,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Kasun Rajitha,19,1,77,1,4.05,1,6,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Prabath Jayasuriya,35,3,145,3,4.14,0,0,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Ramesh Mendis,42.2,2,136,5,3.21,0,0,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Dhananjaya de Silva,7,1,17,0,2.42,0,0,Pakistan 1st Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Shaheen Shah Afridi,13,0,64,2,4.92,1,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Naseem Shah,12,2,32,0,2.66,1,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Agha Salman,9,0,39,2,4.33,0,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Abrar Ahmed,24.1,5,68,3,2.81,0,0,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Noman Ali,25,5,75,3,3.00,0,1,Sri Lanka 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Vishwa Fernando,2,1,6,0,3.00,0,0,Pakistan 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Ramesh Mendis,14,1,62,1,4.42,0,0,Pakistan 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Prabath Jayasuriya,14.5,0,56,4,3.77,0,0,Pakistan 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Dhananjaya de Silva,2,1,2,0,1.00,0,0,Pakistan 2nd Innings,"Sri Lanka vs Pakistan, 1st Test at Galle, Jul 16 2023, Pakistan tour of Sri Lanka"
Mohammed Siraj,12,2,25,1,2.08,1,0,West Indies 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Jaydev Unadkat,7,2,17,0,2.42,0,1,West Indies 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Ravichandran Ashwin,24.3,6,60,5,2.44,0,0,West Indies 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Shardul Thakur,7,3,15,1,2.14,0,1,West Indies 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Ravindra Jadeja,14,7,26,3,1.85,0,0,West Indies 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Kemar Roach,24,6,50,1,2.08,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Alzarri Joseph,18.2,2,80,1,4.36,1,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Rahkeem Cornwall,16,5,32,1,2.00,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Jomel Warrican,45,4,106,1,2.35,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Jason Holder,18,5,40,0,2.22,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Kraigg Brathwaite,9,0,21,0,2.33,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Alick Athanaze,16,2,53,1,3.31,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Raymon Reifer,4,0,16,0,4.00,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Jermaine Blackwood,2,0,4,0,2.00,0,0,India 1st Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Mohammed Siraj,6,1,16,1,2.66,0,0,West Indies 2nd Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Jaydev Unadkat,2,1,1,0,0.50,0,0,West Indies 2nd Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Ravichandran Ashwin,21.3,7,71,7,3.30,0,0,West Indies 2nd Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Ravindra Jadeja,21,5,38,2,1.80,0,0,West Indies 2nd Innings,"West Indies vs India, 1st Test at Roseau, Jul 12 2023, India tour of West Indies and United States of America"
Stuart Broad,11.4,0,58,2,4.97,0,1,Australia 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Ollie Robinson,11.2,2,38,0,3.35,0,2,Australia 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mark Wood,11.4,4,34,5,2.91,0,0,Australia 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Chris Woakes,17,1,73,3,4.29,0,0,Australia 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Moeen Ali,9,1,40,0,4.44,0,0,Australia 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mitchell Starc,14,3,59,2,4.21,0,1,England 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Pat Cummins,18,1,91,6,5.05,1,3,England 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Scott Boland,10,0,35,0,3.50,0,3,England 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mitchell Marsh,3,1,9,1,3.00,0,2,England 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Todd Murphy,7.3,0,36,1,4.80,0,0,England 1st Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Stuart Broad,14.1,3,45,3,3.17,0,0,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Chris Woakes,18,0,68,3,3.77,0,0,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mark Wood,17,2,66,2,3.88,0,0,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Joe Root,1,0,4,0,4.00,0,0,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Moeen Ali,17,3,34,2,2.00,0,0,Australia 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Pat Cummins,15,0,77,1,5.13,0,1,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mitchell Starc,16,0,78,5,4.87,1,0,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Scott Boland,11,1,49,0,4.45,0,2,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Mitchell Marsh,6,0,23,1,3.83,0,1,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
Todd Murphy,2,0,13,0,6.50,0,1,England 2nd Innings,"England vs Australia, 3rd Test at Leeds, Jul 06 2023, The Ashes"
James Anderson,20,5,53,1,2.65,0,1,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Stuart Broad,23,4,99,1,4.30,0,1,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ollie Robinson,24.4,3,100,3,4.05,0,6,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Tongue,22,3,98,3,4.45,0,1,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ben Stokes,3,1,21,0,7.00,0,3,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Joe Root,8,1,19,2,2.37,0,0,Australia 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Mitchell Starc,17,0,88,3,5.17,1,1,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Pat Cummins,16.2,2,46,1,2.81,1,0,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Hazlewood,13,1,71,2,5.46,0,0,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Nathan Lyon,13,1,35,1,2.69,0,0,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Cameron Green,9,0,54,1,6.00,0,6,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Travis Head,7,1,17,2,2.42,0,0,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Steven Smith,1,0,1,0,1.00,0,0,England 1st Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
James Anderson,19,4,64,1,3.36,0,0,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Stuart Broad,24.5,8,65,4,2.61,0,1,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Tongue,20,4,53,2,2.65,3,0,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ollie Robinson,26,11,48,2,1.84,2,0,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Ben Stokes,12,1,26,1,2.16,1,5,Australia 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Mitchell Starc,21.3,2,79,3,3.67,3,0,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Pat Cummins,25,2,69,3,2.76,2,1,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Josh Hazlewood,18,0,80,3,4.44,2,2,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Travis Head,4,0,23,0,5.75,0,0,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Cameron Green,13,3,73,1,5.61,3,1,England 2nd Innings,"England vs Australia, 2nd Test at London, Jun 28 2023, The Ashes"
Pat Cummins,14,0,59,0,4.21,0,0,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Josh Hazlewood,15,1,61,2,4.06,0,0,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Scott Boland,14,0,86,1,6.14,0,0,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Nathan Lyon,29,1,149,4,5.13,0,0,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Cameron Green,6,0,32,1,5.33,0,3,England 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Stuart Broad,23,4,68,3,2.95,0,7,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ollie Robinson,22.1,5,55,3,2.48,1,1,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
James Anderson,21,5,53,1,2.52,0,0,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Harry Brook,3,1,5,0,1.66,0,1,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Moeen Ali,33,4,147,2,4.45,0,0,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ben Stokes,7,0,33,1,4.71,0,6,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Joe Root,7,3,15,0,2.14,0,0,Australia 1st Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Pat Cummins,18.2,1,63,4,3.43,0,0,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Josh Hazlewood,10,1,48,1,4.80,0,1,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Nathan Lyon,24,2,80,4,3.33,0,0,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Scott Boland,12,2,61,1,5.08,0,0,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Cameron Green,2,0,12,0,6.00,0,0,England 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
James Anderson,17,1,56,0,3.29,0,1,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Stuart Broad,21,3,64,3,3.04,0,4,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ollie Robinson,18.3,7,43,2,2.32,0,3,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Moeen Ali,14,2,57,1,4.07,0,0,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Joe Root,15,2,43,1,2.86,0,0,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
Ben Stokes,7,2,9,1,1.28,0,0,Australia 2nd Innings,"England vs Australia, 1st Test at Birmingham, Jun 16 2023, The Ashes"
